ID;Date;Full-time-working;Part-time-working;Member-of-NGO;Other-busyness;Digital-skills;Using-calendar;Daybook;Notebook;Desktop-calendar;Wall-mounted-calendar;Mobile-phone;PC;Tablet;Other-Tool;Having always by side;Icons & signs;Classification of items;Archiving artworks;Archiving books;All in a single calendar;All spaces utilizable;Showing former entries;Showing tasks I have finished;Easy comprehension;Fast insertion;Visual simplicity;Aesthetics;Empty space for free writing;Working offline;Reminding with notifications;Not disturbing with notifications;Change of day widths;Change of activity colors;Change of visible time span;Change of background;All spaces utilizable - Digital;makes me tidier;makes me feel good;manages my relationships;fun;makes me learn new things;provides self-fostering;makes me proud;enables self-expression;provides self-confidence;provides the joy of nostalgia;provides the joy of being served;I like doing multiple things at the same time;People should not do more than one thing at a time;If I reserve an evening for studying, I study a single course;Preparing multiple projects/homework at the same time boosts my creativity;I spare time for social activities while I am attending courses in a semester;What I do in each day of the week is determined;I perpetually note the timings of courses' homework, projects, presentations etc.;I decide on my weekend plans during the week;I don't like making changes my plans;I search courses' hours and difficulties before term registrations start;I have difficulty in following deadlines of courses' homework, projects, presentations etc.;I prefer working in a team rather than working alone;I like spending my spare time on my own;Socializing with people makes me happy;I don't like to be alone;Group activities come about pleasant;The time spent with others is usually more entertaining than the time spent alone ;Crowded places and activities are exhaustive;I focus on the future, rather than the past experiences;I frequently think about what I will do as a job in the future;I dream about the future ;It is important that a person thinks about and plan the current time;Those living the moment succeed;Sometimes I think about the past and what I would do differently;Sometimes I remember what I achieved so far and be proud of myself;POLY;PLAN;SOCI;TEMP
252;10.06.2016 13:52;1;0;0;;3;1;0;0;0;0;1;0;0;;4;3;5;3;3;4;4;4;4;5;4;5;4;4;4;5;5;4;1;3;1;4;3;2;2;3;2;2;3;2;2;3;2;4;2;1;3;5;3;1;2;1;3;4;1;5;3;1;2;3;3;4;2;3;3;4;3;2;0.6;-0.5;-0.5;0.1
253;10.06.2016 13:48;1;0;0;;5;1;0;1;0;0;1;1;0;;4;3;4;4;4;5;5;5;4;5;4;5;4;4;5;4;3;4;4;4;3;4;4;4;4;4;4;4;4;2;4;3;2;4;2;4;4;3;2;4;4;4;4;2;2;4;4;2;4;3;4;2;4;4;4;4;3;2;0.2;0.33;-0.14;0.2
254;10.06.2016 13:51;1;0;0;;5;1;0;0;0;0;1;0;0;;4;4;4;3;3;4;4;4;5;5;5;4;4;5;1;4;4;5;3;4;3;4;4;3;3;3;3;3;1;3;3;3;1;4;3;2;4;2;2;4;2;2;4;1;1;3;3;3;3;3;3;4;4;4;3;3;4;1;0.2;0.08;-0.14;0.4
257;10.06.2016 14:09;0;0;0;I do not work;5;1;1;1;0;0;1;1;1;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;2;5;4;2;3;4;4;2;4;4;2;4;2;4;4;4;3;4;4;4;4;4;2;4;4;-0.5;0.33;0.29;0.1
258;10.06.2016 14:13;1;0;0;;5;1;0;0;0;0;1;1;0;;4;4;4;1;1;4;4;4;4;4;4;5;5;4;2;4;3;2;4;4;3;3;5;4;4;4;3;5;4;4;4;4;2;2;3;2;2;4;4;4;4;4;4;2;2;4;3;1;3;3;4;3;4;4;4;1;4;4;0;0.5;-0.36;0
259;10.06.2016 14:34;1;0;0;;4;1;0;0;0;0;1;0;0;;4;3;2;1;1;4;1;1;1;4;5;5;5;4;4;5;1;1;1;3;1;1;4;4;3;3;3;3;3;3;3;3;3;3;4;4;3;4;3;4;3;3;4;1;3;3;3;3;3;3;3;3;3;4;4;3;3;4;-0.1;0.33;0;0
269;10.06.2016 16:39;1;0;0;;5;1;0;0;0;0;1;0;0;;4;5;3;3;2;4;3;3;3;4;5;5;4;3;4;5;2;3;4;5;2;4;4;3;2;3;1;3;2;1;4;2;1;3;3;4;3;4;4;4;4;4;4;2;3;4;4;2;4;3;4;4;5;5;4;2;4;4;0;0.5;-0.07;0.3
272;10.06.2016 17:30;1;0;0;;5;1;0;0;0;0;0;1;0;;5;5;4;1;1;5;5;5;5;5;5;5;5;5;5;4;3;1;5;5;1;5;4;4;2;4;1;5;5;3;4;1;1;4;3;5;3;5;2;4;1;1;3;2;4;3;4;2;4;2;4;1;5;5;4;3;4;4;0.1;-0.25;0.14;0
274;11.06.2016 00:19;1;0;0;;3;0;0;0;0;0;0;0;0;;5;5;4;1;1;4;5;4;4;5;5;5;5;5;5;5;4;5;4;4;3;4;3;4;4;4;2;4;4;2;3;3;1;4;3;4;3;3;3;2;3;2;4;4;3;2;5;5;5;5;4;3;4;3;4;3;3;2;0;-0.17;0.29;0.2
276;11.06.2016 09:41;0;0;0;Book, hobbies, etc.;4;0;0;0;0;0;0;0;0;;4;5;5;4;3;4;1;3;2;4;5;4;5;4;5;3;4;4;3;4;2;1;4;2;1;3;1;5;1;2;1;4;4;3;1;4;4;2;2;1;1;2;4;1;2;5;1;1;1;5;5;4;4;2;5;1;5;2;0.1;-0.25;-0.93;0
277;11.06.2016 12:19;1;0;0;;5;1;1;0;0;1;1;0;0;;4;4;4;4;1;5;4;4;4;4;5;4;4;1;5;5;4;4;2;5;3;3;5;5;3;4;1;5;5;2;4;1;1;4;2;4;2;4;2;4;2;2;4;2;3;2;4;3;4;2;2;3;5;5;5;3;4;4;0.1;0;0.36;0.2
278;11.06.2016 15:04;0;0;1;;4;0;0;0;0;0;0;0;0;;4;4;3;2;2;4;4;4;4;4;3;4;4;5;4;4;3;4;4;4;3;4;4;3;4;4;3;4;4;3;4;4;3;4;3;3;4;5;5;4;4;3;4;3;5;2;5;3;4;2;3;5;3;3;3;3;3;4;0.4;0.42;0.5;0.1
279;11.06.2016 15:02;1;0;0;;4;1;1;0;0;0;1;0;0;;5;5;5;4;3;4;4;4;5;5;5;5;4;5;5;4;1;4;4;4;4;4;5;5;5;4;4;5;4;4;4;4;3;4;2;3;3;4;4;4;3;4;4;2;3;3;4;4;4;2;3;3;4;4;4;2;4;4;0.3;0.42;0.29;0
281;11.06.2016 15:06;0;0;1;;4;0;0;0;0;0;0;0;0;;5;4;3;3;3;5;3;4;4;4;4;4;4;4;5;4;4;4;4;4;3;3;4;4;4;4;3;4;4;4;4;4;4;3;2;2;3;3;3;3;3;2;3;2;3;4;4;3;4;3;2;2;4;4;4;3;4;3;0.2;0;0.14;0
282;11.06.2016 15:06;0;1;0;;4;1;1;1;0;0;1;0;0;;5;4;4;4;4;4;3;4;4;4;4;5;3;3;5;5;5;5;5;5;1;3;5;4;4;4;2;4;4;2;2;4;2;4;1;4;4;5;3;4;4;3;4;1;2;3;4;3;3;3;4;3;4;4;4;3;4;4;0.5;0.42;-0.07;0
283;11.06.2016 15:09;0;0;1;;4;0;0;0;0;0;0;0;0;;4;4;3;2;2;4;4;3;4;4;4;4;4;4;4;3;3;4;3;4;3;4;5;5;4;3;2;4;4;2;3;1;2;2;4;3;2;5;4;2;3;4;3;2;4;2;5;3;5;2;4;4;2;1;4;4;2;2;-0.1;0.17;0.43;0
284;11.06.2016 15:12;0;0;1;;3;1;1;0;0;0;1;0;0;;4;4;3;1;2;5;2;4;4;4;5;5;3;3;5;5;4;3;4;5;3;3;4;4;3;4;4;4;4;4;4;2;3;4;2;2;3;3;4;5;4;2;4;2;3;3;4;3;4;3;2;4;4;4;4;2;4;4;0.3;0.42;0.21;0.1
285;11.06.2016 15:14;0;0;1;;4;1;0;0;0;0;1;0;0;;4;5;4;4;2;5;4;4;4;5;5;3;4;4;4;4;3;3;4;4;4;4;4;4;3;3;3;4;2;1;1;3;1;3;2;4;3;4;2;5;2;4;2;2;2;4;4;2;3;3;4;2;4;3;3;2;3;2;0.1;0.08;-0.21;0.1
286;11.06.2016 15:12;0;0;0;;4;0;0;0;0;0;0;0;0;;5;3;4;2;1;4;4;3;3;4;4;4;4;4;5;5;4;3;3;3;3;4;4;2;1;1;1;4;3;3;3;4;1;2;1;3;2;3;2;2;4;5;4;3;1;4;4;2;3;3;5;3;3;3;4;3;3;3;0;0.17;-0.36;0
287;11.06.2016 15:12;0;0;1;;3;0;0;0;0;0;0;0;0;;3;4;3;4;2;4;3;4;3;5;5;3;3;4;4;4;3;4;2;2;2;3;4;4;3;2;2;3;4;3;3;4;4;4;3;4;4;4;3;4;3;4;4;2;2;3;4;4;3;3;3;4;4;4;4;3;4;4;0.2;0.33;0.07;0.1
288;11.06.2016 15:13;0;0;1;;3;1;1;1;0;0;1;0;0;;3;4;4;3;4;5;5;2;2;4;5;5;4;5;5;5;4;4;1;3;1;5;5;4;4;3;3;5;5;3;3;2;1;5;1;2;4;4;4;4;4;3;5;2;4;2;5;5;5;1;1;4;4;5;5;3;2;4;0.7;0.5;0.86;0.4
289;11.06.2016 15:17;1;0;0;;5;1;0;0;0;0;1;1;0;;5;4;4;2;2;4;4;3;3;5;5;4;4;3;5;3;4;4;4;4;2;4;4;3;3;2;2;4;3;2;2;2;2;4;2;2;3;4;3;2;2;3;4;2;2;3;3;2;4;3;2;4;3;3;4;3;3;2;0.4;0;0;0.2
292;11.06.2016 15:30;0;0;1;;3;1;1;0;0;0;1;1;0;;5;4;5;5;5;4;4;4;4;4;4;5;4;5;5;4;4;3;4;4;4;4;4;4;3;4;2;5;5;3;3;5;3;4;3;3;4;5;3;5;3;3;4;2;3;3;5;3;4;3;3;4;4;4;4;3;4;4;0.4;0.33;0.21;0.1
297;11.06.2016 15:43;0;1;0;;5;1;0;0;0;0;1;0;0;;4;4;4;2;2;5;4;3;2;4;4;4;4;4;4;4;4;2;1;4;1;3;5;4;2;2;2;3;2;3;3;2;2;2;4;2;1;4;4;4;1;4;4;2;4;1;5;5;4;1;4;1;3;2;3;3;4;1;-0.2;0.25;0.64;-0.2
298;11.06.2016 15:44;0;0;0;;3;1;1;1;0;0;0;0;0;;3;4;4;2;2;2;2;2;2;2;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;3;2;2;4;2;4;2;3;4;2;4;2;4;2;4;4;4;3;4;3;0.5;-0.25;0;0
299;11.06.2016 15:48;0;0;1;;5;0;0;0;0;0;0;0;0;;4;4;4;4;4;3;3;4;4;4;4;4;2;3;4;3;3;4;4;3;1;1;4;3;3;2;2;4;2;1;2;2;2;2;4;3;2;2;3;4;4;4;4;3;5;5;4;2;1;3;4;4;5;4;3;3;3;3;-0.4;0.33;-0.21;0.4
300;11.06.2016 15:49;1;0;0;;4;1;0;1;0;0;0;0;0;;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;2;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;2;5;1;2;3;3;4;4;4;5;3;4;3;3;4;2;4;3;3;3;2;4;5;3;4;4;0.5;0.33;0.07;-0.2
302;11.06.2016 15:48;0;0;1;;5;1;1;1;1;1;0;0;0;;4;4;4;4;4;4;5;4;5;5;5;4;4;5;4;4;5;4;5;5;4;5;5;4;3;5;4;5;5;5;5;4;2;3;4;4;3;5;4;5;5;3;5;2;2;5;5;1;4;3;3;5;4;5;5;4;5;5;0;0.67;-0.14;0.1
306;11.06.2016 15:55;1;0;0;;4;1;0;0;0;0;1;1;0;;4;4;5;4;3;5;4;4;4;4;5;4;5;4;5;5;3;3;4;4;4;4;4;4;4;4;3;5;5;3;4;3;3;2;4;4;1;2;4;4;5;5;3;1;1;3;4;3;1;3;4;1;5;5;4;3;3;3;-0.6;0.67;-0.29;0.2
308;11.06.2016 16:12;0;0;1;;5;0;0;0;0;0;0;0;0;;5;5;5;2;2;5;5;1;1;5;5;5;1;5;5;5;2;5;1;5;1;5;3;3;3;3;3;3;3;3;3;3;3;1;5;5;1;1;3;5;5;5;5;3;1;5;2;2;1;3;4;5;5;5;5;2;3;3;-1;0.67;-0.64;0.6
310;11.06.2016 16:20;0;0;1;;3;1;0;1;0;0;1;0;0;;5;3;4;1;4;4;4;4;2;5;4;5;3;4;5;4;3;5;4;5;4;5;5;4;2;2;2;5;2;4;2;4;1;4;3;3;2;4;3;3;2;1;2;3;3;4;4;2;3;3;2;4;3;4;4;2;5;2;0.1;-0.33;0;0.1
313;11.06.2016 16:43;0;1;0;I write short stories;3;1;0;0;1;0;1;0;0;;5;5;5;4;5;5;3;4;3;3;3;3;3;5;5;5;1;3;4;4;2;3;5;3;3;2;2;5;3;2;4;4;1;2;3;4;3;2;2;5;2;2;5;1;1;5;3;2;3;5;5;4;4;4;4;3;4;2;-0.3;0.25;-0.64;0.3
314;11.06.2016 16:30;0;0;1;;3;0;0;0;0;0;0;0;0;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;3;3;3;4;3;3;3;4;4;3;4;2;3;3;3;3;2;4;4;3;2;4;4;3;2;4;3;3;3;3;4;3;4;3;4;3;4;3;0;0.17;-0.21;0
316;11.06.2016 16:42;1;0;0;;5;1;1;1;1;1;1;1;0;;4;4;5;3;3;5;4;4;4;4;5;4;4;3;5;4;5;2;4;4;2;4;5;4;3;5;2;5;4;4;4;5;3;3;3;4;3;4;4;5;2;3;3;2;2;2;4;4;4;3;4;5;4;4;4;3;4;4;0;0.25;0.14;0.2
318;11.06.2016 17:04;1;0;1;;4;0;1;0;0;0;1;0;0;;5;4;4;4;3;5;2;4;4;5;5;4;3;2;4;4;2;3;3;4;2;3;5;3;3;3;3;4;4;2;1;4;3;5;2;4;2;4;3;4;2;2;2;3;5;2;4;2;3;3;3;5;4;5;5;2;5;3;0.2;-0.17;0.21;0.3
319;11.06.2016 17:18;0;1;0;;4;1;1;0;0;0;0;0;0;;4;4;4;3;3;3;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;5;4;2;4;3;2;4;2;5;2;3;4;1;2;3;4;3;3;3;4;4;3;3;4;4;4;4;-0.2;0.25;-0.07;-0.1
325;11.06.2016 17:58;0;0;1;;5;1;0;0;0;0;1;0;0;;5;5;4;4;4;3;3;4;4;4;4;4;5;5;5;4;4;3;3;5;1;2;5;5;4;4;2;4;4;2;3;5;4;4;1;5;1;4;4;5;2;5;4;1;2;3;4;3;5;3;5;2;4;5;5;3;4;3;0;0.58;0;0.1
327;11.06.2016 18:20;1;0;0;;4;0;0;0;0;0;0;0;0;;3;4;4;4;4;4;4;3;3;4;4;5;4;4;4;4;4;3;3;3;3;3;4;3;3;4;4;4;3;3;3;4;3;4;2;3;4;4;4;4;4;4;4;2;2;3;5;2;4;3;3;4;3;4;4;4;4;4;0.4;0.5;0.07;0
328;11.06.2016 18:22;0;0;0;;5;1;0;1;1;0;0;0;0;;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;3;4;3;4;4;3;2;2;2;4;4;4;3;3;3;3;3;4;2;3;2;5;3;4;5;2;1;4;4;4;2;3;4;4;3;3;5;4;4;4;-0.2;0.42;-0.21;-0.1
331;11.06.2016 18:28;0;1;0;;5;1;1;0;0;0;0;0;0;;5;4;5;4;4;5;4;5;5;5;5;5;5;3;5;5;4;4;4;3;3;4;5;5;5;5;5;5;5;5;5;3;5;4;3;3;4;4;5;5;5;5;5;2;4;2;5;4;5;2;4;5;5;5;4;3;4;5;0.3;0.92;0.5;0.3
334;11.06.2016 18:54;0;0;1;;5;1;1;0;0;0;1;1;1;;5;3;4;5;5;4;4;4;4;3;3;4;4;5;5;4;3;1;4;4;1;3;5;3;4;4;2;5;5;2;3;5;1;3;5;4;2;4;5;5;4;2;5;2;1;1;4;3;4;1;3;3;4;4;4;2;4;4;-0.3;0.58;0.29;0
338;11.06.2016 19:15;0;1;0;;5;1;0;0;0;0;1;1;0;;5;3;4;3;3;5;4;4;4;4;5;4;4;4;5;4;4;4;3;4;1;4;4;2;2;3;2;4;2;1;1;1;1;4;3;4;3;5;3;4;2;1;3;4;1;3;4;3;4;3;2;4;3;4;4;4;4;2;0.2;-0.25;0.07;0.2
342;11.06.2016 19:42;0;1;1;;4;1;1;0;1;0;0;0;0;;5;2;2;4;2;5;5;5;5;5;5;5;5;5;5;5;1;5;5;1;3;5;5;5;5;5;3;5;5;5;4;5;4;4;2;3;5;5;5;5;5;5;5;2;4;5;4;2;4;3;4;5;5;5;5;4;5;5;0.6;0.92;-0.07;0.2
343;11.06.2016 19:41;0;0;0;None;2;0;0;0;0;0;0;0;0;;4;4;4;3;4;3;4;5;5;5;5;3;4;5;5;5;2;4;3;3;4;4;4;3;4;4;3;4;4;3;3;4;3;3;3;3;2;3;2;2;2;2;2;4;2;3;4;2;4;3;4;2;4;4;4;3;2;2;-0.1;-0.5;-0.07;0.3
344;11.06.2016 19:56;0;0;0;;3;1;0;0;1;0;1;0;1;;4;4;3;2;2;4;3;2;3;4;4;3;3;4;4;3;3;3;3;3;3;4;4;4;3;3;3;4;3;3;3;3;3;4;2;2;3;4;2;4;3;4;4;3;2;3;4;4;3;3;4;4;2;4;3;5;4;3;0.4;0.17;0;0
347;11.06.2016 20:30;1;0;0;;3;1;1;0;0;0;0;0;0;;4;4;3;4;4;5;4;4;4;4;4;5;5;5;5;4;4;5;5;5;4;4;5;5;5;5;4;5;5;5;5;5;5;4;2;2;4;4;5;5;5;5;3;2;4;5;3;3;4;4;5;5;5;5;5;3;4;5;0.5;0.75;-0.21;0.3
348;11.06.2016 20:34;0;0;1;;4;1;0;0;0;0;1;0;0;;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;4;3;3;5;4;4;4;3;3;3;4;3;3;3;3;2;4;3;2;4;3;3;3;3;4;4;5;2;4;4;4;2;2;3;3;3;3;4;2;4;-0.2;0;0.57;0
350;11.06.2016 21:34;0;0;1;;3;1;1;1;0;0;1;0;0;;5;4;4;3;3;5;4;5;5;5;5;4;4;4;5;5;1;4;4;4;3;4;5;5;4;4;3;5;5;4;4;4;3;5;1;3;4;5;2;4;3;5;3;1;2;4;4;1;4;3;2;3;4;4;4;3;2;4;0.7;0.33;-0.07;0.2
355;11.06.2016 22:34;0;0;1;;4;1;0;1;0;0;1;1;0;;4;4;4;5;5;5;5;3;3;4;4;4;4;5;3;4;3;4;4;4;4;4;4;4;4;3;4;4;5;4;5;4;3;3;4;4;3;4;4;5;4;3;4;2;3;3;5;3;4;2;2;4;4;5;3;3;3;4;-0.1;0.5;0.36;0.3
362;12.06.2016 00:02;0;1;1;;4;1;1;0;0;0;1;0;0;;4;4;5;4;4;5;5;3;4;4;5;2;4;5;5;5;4;4;2;4;2;5;5;5;5;4;1;4;4;4;4;4;5;5;1;3;4;5;5;4;5;3;5;1;4;3;4;3;4;2;2;3;4;4;5;2;2;4;0.7;0.75;0.36;0.2
363;12.06.2016 00:08;0;0;0;;4;1;0;0;0;0;1;0;0;;5;4;5;2;2;5;4;4;4;5;4;4;4;4;3;5;4;3;4;4;3;4;5;4;4;2;2;4;3;1;4;2;3;2;3;4;3;4;4;5;3;3;4;2;4;3;4;3;4;2;3;4;3;3;4;2;3;2;-0.1;0.42;0.29;0.2
364;12.06.2016 00:45;0;0;0;;4;1;0;0;0;0;1;0;0;;5;5;2;2;2;4;3;5;5;5;5;5;4;5;5;5;5;5;3;5;3;3;5;5;3;4;2;4;2;1;4;4;1;5;1;4;4;5;2;4;4;4;5;2;2;3;4;2;4;2;2;4;4;3;5;5;4;4;0.6;0.42;0.14;0
366;12.06.2016 01:21;0;0;0;;3;1;0;1;1;0;1;0;0;;5;5;4;1;1;3;5;4;2;5;5;5;5;4;5;5;3;4;5;4;1;4;5;4;4;3;3;4;3;5;5;2;1;3;3;4;3;3;3;5;4;2;5;1;5;3;3;1;4;3;4;3;4;5;4;3;2;3;-0.1;0.5;0;0.4
370;12.06.2016 03:57;0;0;1;;2;1;0;1;0;0;1;0;0;;3;3;4;2;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;2;4;4;4;3;2;2;4;4;3;3;4;2;5;2;3;3;5;5;5;5;4;5;2;3;3;4;4;4;3;2;3;5;4;5;5;4;2;0.5;0.83;0.29;0.3
371;12.06.2016 05:05;0;0;0;I play an instrument;3;1;0;0;0;0;1;0;0;;5;5;5;2;2;5;5;3;3;4;5;5;4;5;5;5;4;5;5;5;4;5;4;4;3;3;2;4;3;2;3;3;2;2;4;4;3;4;3;4;3;4;4;3;4;4;3;2;3;4;4;3;4;4;4;3;4;4;-0.2;0.25;-0.21;0
373;12.06.2016 07:40;1;0;0;;5;1;1;1;0;0;0;1;0;;4;5;5;5;5;5;5;5;5;5;4;5;4;5;4;1;5;5;5;5;1;4;5;4;4;5;5;5;4;3;1;3;1;5;2;1;5;4;3;5;4;1;1;5;1;5;5;1;3;3;4;3;5;5;4;3;4;4;0.8;-0.25;-0.36;0.2
374;12.06.2016 12:12;0;0;0;Refree;4;1;0;0;0;0;1;0;0;;5;3;4;1;1;4;3;3;3;4;4;4;4;3;4;4;2;2;3;4;2;3;4;4;3;4;2;4;4;2;3;2;4;2;3;4;2;4;3;4;2;3;3;4;4;2;4;4;4;2;3;4;3;3;4;3;4;3;-0.2;-0.08;0.43;0
375;12.06.2016 12:26;0;1;0;;3;0;0;0;0;0;0;0;0;;4;4;4;4;4;5;5;4;4;5;5;4;3;4;5;4;4;4;3;4;3;3;4;4;5;4;3;4;4;4;4;4;3;4;2;2;3;4;3;4;3;4;4;2;5;3;5;3;4;3;2;4;4;4;4;3;3;4;0.4;0.33;0.43;0.2
376;12.06.2016 12:35;0;1;1;;3;1;1;0;0;0;1;1;0;;5;4;3;2;2;5;4;3;3;4;5;4;4;4;5;5;4;4;3;4;3;3;5;4;4;5;4;5;3;4;3;4;4;4;1;4;3;5;4;4;4;4;5;2;4;1;5;4;5;1;1;4;4;4;4;3;4;5;0.4;0.58;0.86;0
379;12.06.2016 13:46;1;1;1;;5;1;0;1;1;0;1;1;1;;4;5;4;3;1;4;5;3;4;4;4;3;3;4;5;5;3;4;5;5;2;4;4;4;4;3;3;4;4;5;3;3;3;5;2;2;4;5;5;4;5;3;3;2;2;3;4;2;4;2;3;3;4;4;4;3;2;3;0.7;0.5;0.07;0.3
380;12.06.2016 13:53;0;0;1;;4;1;0;1;0;0;0;0;0;;5;1;3;5;5;5;2;4;5;3;3;5;5;5;5;2;5;5;3;4;1;3;5;5;5;4;3;5;5;2;4;5;5;5;2;3;5;5;3;5;5;4;5;1;3;2;5;3;4;1;5;5;5;5;5;5;4;5;0.7;0.75;0.29;0.3
382;12.06.2016 19:04;0;0;1;;2;1;1;0;0;0;1;0;0;;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;2;2;3;2;5;3;4;3;4;3;3;4;4;5;3;5;3;2;3;4;5;4;5;4;4;0.1;0.17;0.36;0.1
384;13.06.2016 01:33;0;0;1;;5;1;0;1;0;0;1;0;0;;3;4;4;4;4;2;2;4;4;5;5;5;5;4;5;4;5;4;4;4;1;1;4;2;2;2;3;5;4;2;2;2;2;5;1;4;4;5;4;4;4;2;5;4;3;4;4;1;2;4;4;4;2;4;4;5;4;3;0.6;0.25;-0.36;0
386;13.06.2016 14:55;1;0;0;;5;1;0;0;1;0;1;0;0;;4;2;2;2;2;4;4;4;2;4;4;4;3;4;4;4;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;4;4;2;2;2;4;4;2;4;2;2;2;4;4;4;2;2;4;4;4;4;2;4;2;-0.5;0.17;0.36;0.3
388;13.06.2016 18:51;1;0;0;;4;1;0;0;0;0;1;0;0;;5;4;4;2;2;4;4;2;2;4;4;5;4;4;5;4;4;4;4;4;3;4;4;4;3;4;4;4;3;3;3;3;4;2;4;2;4;4;2;3;3;4;4;2;3;4;4;2;4;3;3;4;3;4;4;2;3;4;0.1;0.17;0;0.1
391;14.06.2016 11:40;1;0;0;;5;0;0;0;0;0;0;0;0;;2;2;2;3;3;3;3;3;3;3;3;3;3;4;4;4;5;3;4;3;3;3;4;3;3;3;3;4;3;3;3;4;3;4;3;4;3;4;1;3;2;3;4;4;4;3;4;3;4;3;3;3;3;3;3;3;3;3;0.1;-0.25;0.21;0
